"translatedText" "text"
"1" "sense" "akal"
"2" "God" "allah"
"3" "come on" "ayo"
"4" "ingredient" "bahan"
"5" "very" "banget"
"6" "bank" "bank"
"7" "help" "bantuan"
"8" "goods" "barang"
"9" "limitation" "batasan"
"10" "bca" "bca"
"11" "study" "belajar"
"12" "buy" "beli"
"13" "speak" "berbicara"
"14" "valuable" "berharga"
"15" "stop" "berhenti"
"16" "mean" "bermakna"
"17" "increase" "bertambah"
"18" "lips" "bibir"
"19" "binomo" "binomo"
"20" "broker" "broker"
"21" "make" "buatkan"
"22" "pregnant" "bumil"
"23" "handsome" "cakep"
"24" "beautiful" "cantik"
"25" "get" "dapatkan"
"26" "data" "data"
"27" "description" "deskripsi"
"28" "pocket" "dikantong"
"29" "money" "duit"
"30" "ga" "ga"
"31" "wages" "gaji"
"32" "change" "ganti"
"33" "how" "gimana"
"34" "lipstick" "gincu"
"35" "warehouse" "gudang"
"36" "finished" "habis"
"37" "hello" "halah"
"38" "life" "hidup"
"39" "inflation" "inflasi"
"40" "input" "input"
"41" "investation" "investasi"
"42" "position" "jabatan"
"43" "fall down" "jatuh"
"44" "million" "juta"
"45" "kaa" "kaa"
"46" "news" "kabar"
"47" "lost" "kalah"
"48" "time" "kali"
"49" "love" "kasih"
"50" "kayak" "kayak"
"51" "needs" "kebutuhan"
"52" "work" "kerja"
"53" "testimony" "kesaksian"
"54" "meet" "ketemu"
"55" "component" "komponen"
"56" "content" "konten"
"57" "slow" "lambat"
"58" "see" "lihat"
"59" "linkedin" "linkedin"
"60" "reasonable" "lumayan"
"61" "enter" "masuk"
"62" "masya" "masya"
"63" "miss" "mbak"
"64" "apply" "melamar"
"65" "share" "membagikan"
"66" "help" "membantu"
"67" "telling you" "memberitahu"
"68" "need" "membutuhkan"
"69" "decide" "memutuskan"
"70" "interesting" "menarik"
"71" "try it" "mencobanya"
"72" "arrange" "mengatur"
"73" "check" "mengecek"
"74" "educate" "mengedukasi"
"75" "startling" "mengejutkan"
"76" "produce" "menghasilkan"
"77" "craving" "mengidam"
"78" "raw" "mentah"
"79" "must" "mesti"
"80" "country" "negara"
"81" "ok" "ok"
"82" "person" "orang"
"83" "brain" "otak"
"84" "output" "output"
"85" "use" "pakai"
"86" "fit" "pas"
"87" "profession" "pekerjaan"
"88" "opinion" "pendapat"
"89" "experience" "pengalaman"
"90" "processing" "pengerjaan"
"91" "intermediary" "perantara"
"92" "trading" "perdagangan"
"93" "supply" "persediaan"
"94" "percent" "persen"
"95" "requirements" "persyaratan"
"96" "per year" "pertahun"
"97" "choice" "pilihan"
"98" "borrow" "pinjam"
"99" "accounts receivable" "piutang"
"100" "president" "presiden"
"101" "process" "proses"
"102" "public" "publik"
"103" "usury" "riba"
"104" "retail" "ritel"
"105" "share" "saham"
"106" "sbn" "sbn"
"107" "sbr" "sbr"
"108" "tbsp" "sdm"
"109" "a moment" "sebentar"
"110" "security" "sekuritas"
"111" "spirit" "semangat"
"112" "stock" "stok"
"113" "savings" "tabungan"
"114" "put" "taruh"
"115" "tempo" "tempo"
"116" "depends" "tergantung"
"117" "accept" "terima"
"118" "interested" "tertarik"
"119" "help" "tolong"
"120" "total" "total"
"121" "swap" "tukar"
"122" "money" "uang"
"123" "already" "udah"
"124" "end" "ujung"
"125" "debt" "utang"
"126" "Interview" "wawancara"
